class	label	URI	parent_class	parent_label	parent_URI	OBI:example_of_usage	OBI:editor_note	OBI:definition
reference_treatment	Reference treatment	http://obi.sourceforge.net/ontology/OBI.owl	reference		http://obi.sourceforge.net/ontology/OBI.owl	Treat flies with MMS to elucidate maximal mutagenesis; apply sham surgery to subjects to compare with hepatectomized subjects		Reference treatment is a reference role in which a protocol is applied that can produce a result which may be used as a reference or standard for comparison
reference_value	Reference value	http://obi.sourceforge.net/ontology/OBI.owl	reference		http://obi.sourceforge.net/ontology/OBI.owl	Magnitude of response or quality of a subject a subject at time 0		Reference value is a reference role in which the reference value is used for comparison or reference. 
regulation-assigned_role	Regulation-assigned role	http://obi.sourceforge.net/ontology/OBI.owl	regulatory_role		http://obi.sourceforge.net/ontology/OBI.owl	Approval letter		Regulation-assigned role is a regulatory role defined by legislation or governmental orders
regulator	Regulator	http://obi.sourceforge.net/ontology/OBI.owl	regulatory_role		http://obi.sourceforge.net/ontology/OBI.owl	Government agency		Regulator is a regulatory role involved with making and/or enforcing relevant legislation and governmental orders
regulator_of_chemical_manufacture	Regulator of chemical manufacture	http://obi.sourceforge.net/ontology/OBI.owl	regulator		http://obi.sourceforge.net/ontology/OBI.owl	EPA		A regulator of chemical manufacture is a regulator involved with making and enforcing legislation and governmental orders relevant to chemical manufacture
regulator_of_consumables_and_medical_devices	Regulator of consumables and medical devices	http://obi.sourceforge.net/ontology/OBI.owl	regulator		http://obi.sourceforge.net/ontology/OBI.owl	FDA, EMEA		A regulator of consumables and medical devices is a regulator involved with making and enforcing legislation and governmental orders relevant to the development, testing, manufacture and use of food, drugs and medical devices
regulatory_role	Regulatory role	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Regulatory agency, Ethics committee, Approval letter	govt agents responsible for creating regulations; proxies for enforcing regulations.  CDISC definition:  regulatory authorities. Bodies having the power to regulate. NOTE: In the ICH GCP guideline the term includes the authorities that review submitted clinical data and those that conduct inspections. These bodies are sometimes referred to as competent	Regulatory role is a role of making, enforcing or defined by legislation or orders issued by a governmental body.
reporter	Reporter	http://obi.sourceforge.net/ontology/OBI.owl	reagent		http://obi.sourceforge.net/ontology/OBI.owl			Reporter is a reagent role played by a chemical characterized by a property such as color, fluorescence or radioactivity which is used to measure uptake, local conditions or to indicate location.
reporting_party	Reporting party	http://obi.sourceforge.net/ontology/OBI.owl	study_personnel		http://obi.sourceforge.net/ontology/OBI.owl			Reporting party role is a study personnel role played by a party who reports the outcome of a study component
responsible_party	Responsible party	http://obi.sourceforge.net/ontology/OBI.owl	study_personnel		http://obi.sourceforge.net/ontology/OBI.owl			A responsible party role is an administrative role played by a party who is accountable for the execution of a study component
screened_population	Screened population	http://obi.sourceforge.net/ontology/OBI.owl	potential_study_participant		http://obi.sourceforge.net/ontology/OBI.owl	Group of potential subjects who pass the screening criteria		Screened population is a potential study participant role of individuals who have been interviewed or screened for participation eligibility
sequence_feature_identification_objective	sequence_feature_identification_objective	http://obi.sourceforge.net/ontology/OBI.owl	biological_feature_identification_objective		http://obi.sourceforge.net/ontology/OBI.owl			Sequence_feature_identification_objective is a biological_feature_identification_objective role describing a study designed to examine or characterize molecular features exhibited at the level of a macromolecular sequence, e.g. nucleic acid, protein, polysaccharide.
sham_treatment	Sham treatment	http://obi.sourceforge.net/ontology/OBI.owl	reference_treatment		http://obi.sourceforge.net/ontology/OBI.owl	Shave animals but do not apply treatment to skin		Sham treatment is a reference treatment designed to mimic the harmless portion of an intervention; e.g. treatment with vehicle alone, placebo or sham surgery.
software_optimization	software_optimization	http://obi.sourceforge.net/ontology/OBI.owl	software_testing_objective		http://obi.sourceforge.net/ontology/OBI.owl			Software_optimization is a software_testing_objective role describing a study designed to identify the best software or parameters of the software.
software_testing_objective	software_testing_objective	http://obi.sourceforge.net/ontology/OBI.owl	methodology_testing_objective		http://obi.sourceforge.net/ontology/OBI.owl			Software_testing_objective is a hardware_optimization role describing a study designed to examine the effects of using different software or software parameters, e.g. data processing software.
special_population	Special population	http://obi.sourceforge.net/ontology/OBI.owl	eligible_population		http://obi.sourceforge.net/ontology/OBI.owl	Geriatric subset of eligible population	CDISC Definition:  special populations. Subsets of study populations of particular interest included in clinical trials to ensure that their specific characteristics are considered in interpretation of data [e.g., geriatric].	Special population is an eligible population role played by a population with characteristics that make it especially important to target for enrollment
sponsor	Sponsor	http://obi.sourceforge.net/ontology/OBI.owl	responsible_party		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition: sponsor. 1. An individual, company, institution, or organization that takes responsibility for the initiation, management, and/or financing of a clinical trial. 2. A corporation or agency whose employees conduct the investigation is considered a sponsor; employees are considered investigators	Sponsor is a responsible party role involved with any of the following activities:  initiating, managing and funding a study
statistical_factor	Statistical factor	http://obi.sourceforge.net/ontology/OBI.owl	outcome		http://obi.sourceforge.net/ontology/OBI.owl			Statistical factor is an outcome role consisting of being a variable used in the main analysis of the study
study_committee	Study committee	http://obi.sourceforge.net/ontology/OBI.owl	responsible_party		http://obi.sourceforge.net/ontology/OBI.owl		coordinating committee (also executive committee, steering committee MUSC; study-committee, RCT schema)	Coordinating committee is a responsible party role overseeing the progress of a multicenter trial
study_group_population	Study group population	http://obi.sourceforge.net/ontology/OBI.owl	study_population		http://obi.sourceforge.net/ontology/OBI.owl		The group of randomized participants that are assigned to a treatment arm of the trial	Study group population is a study population defined by undergoing the same interventional treatment, or presenting the same characteristics or history
study_participant	Study participant	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Lab rats treated with a chemical of interest; fish collected as part of an environmental study; human subjects in a trial, patients excluded from a trial		Study participant is a role of actual or potential objects of a study; NB:  this does not include the study personnel who perform the study
study_personnel	Study personnel	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Study director; funding agency; animal technician		Study personnel is a role carried out by a person or organization who is performing the study involved in any of the following activities: planning, overseeing, reviewing, reporting and implementing a study.
study_population	Study population	http://obi.sourceforge.net/ontology/OBI.owl	study_subject		http://obi.sourceforge.net/ontology/OBI.owl		study population. Defined by protocol inclusion/exclusion criteria. 	Study population is a study subject role which is defined by exclusion or inclusion criteria as specified in the study protocol
study_subject	Study subject	http://obi.sourceforge.net/ontology/OBI.owl	study_participant		http://obi.sourceforge.net/ontology/OBI.owl		subject/trial subject. An individual who participates in a clinical trial, either as recipient of the investigational product(s)) or as a control. [ICH] See also healthy volunteer, human subject.; human subject. Individual who is or becomes a participant in research, either as a recipient of the test article or as a control. A subject may be either a healthy human or a patient. [21 CFR50.3]. Synonym: subject/trial subject.	Study subject is a Study participant role that is played by the objects of the study during the study timeline.  In most cases, a study subject is considered to be a population representative
sub-investigator	Sub-investigator	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition:  Sub-investigator. Any member of the clinical trial team designated and supervised by the investigator at a trial site to perform critical trial-related procedures and/or to make important trial-related decisions (e.g., associates, residents, research fellows) [ICH] See associates, residents, research fellows	Sub-investigator is a worker authorized to make study-related decisions and carry out tasks related to the study; this role occurs during the study timeline
subject_characteristic_variable	Subject characteristic variable	http://obi.sourceforge.net/ontology/OBI.owl	direct_experimental_factor		http://obi.sourceforge.net/ontology/OBI.owl	Selection of subjects of different sexes for testing		Subject characteristic variable is a direct experimental factor in which the component which varies results from the selection of subjects with non-uniform characteristics
subject_provider	Subject provider	http://obi.sourceforge.net/ontology/OBI.owl	supplier		http://obi.sourceforge.net/ontology/OBI.owl		Subject provider does not provide clinical subjects	Subject provider is a supplier of animals, cultures, other living material in a form suitable for use in a study.  This role occurs before the study timeline.
supplier	Supplier	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition: Supplier. An organization that enters into a contract with the acquirer for the supply of a system, software product, or software service under the terms of a contract.	Supplier is a worker who provides reagents, subjects and other materials used in a study; this role generally occurs before the study, but could occur during the study
surgical_intervention	Surgical intervention	http://obi.sourceforge.net/ontology/OBI.owl	intervention_variable		http://obi.sourceforge.net/ontology/OBI.owl	Test of a new pacemaker		Surgical intervention device is an intervention variable in which the varying parameter is a surgical procedure or medical device
surrogate_marker	Surrogate marker	http://obi.sourceforge.net/ontology/OBI.owl	indirect_experimental_factor		http://obi.sourceforge.net/ontology/OBI.owl	Transcript level changes associated with cancer outcomes	CDISC definition:  surrogate marker. A measurement of a drug's biological activity that substitutes for a clinical endpoint such as death or pain relief.	Surrogate marker is an indirect experimental factor role assigned to a variable shown to be a substitute for an adverse reaction
surrogate_variable	Surrogate variable	http://obi.sourceforge.net/ontology/OBI.owl	indirect_experimental_factor		http://obi.sourceforge.net/ontology/OBI.owl	Following serum lipase levels as predictor of pancreatic failure	CDISC definition:  surrogate variable. A variable that provides an indirect measurement of effect in situations where direct measurement of clinical effect is not feasible or practical.	Surrogate variable is an indirect experimental factor role assigned to behavior which varies in a known relationship to a variable of interest that is more difficult to measure
technical_replicate	Technical replicate	http://obi.sourceforge.net/ontology/OBI.owl	reference_participant		http://obi.sourceforge.net/ontology/OBI.owl	Aliquots of a tissue subjected to parallel assays		Technical replicate is a reference participant role where two or more aliquots of the same biological material are subjected to replicate assays
technology_provider	Technology provider	http://obi.sourceforge.net/ontology/OBI.owl	supplier		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition:  technology provider. A person, company or other entity who develops, produces and sells software applications and/or hardware for use in conducting clinical trials and/or in analyzing clinical trial data and or submitting clinical trial information for regulatory approval	Technology provider is a supplier who provides software, instruments or computational devices used in a study; this role generally occurs before the study, but could occur during the study
time_interval_variable	Time interval variable	http://obi.sourceforge.net/ontology/OBI.owl	direct_experimental_factor		http://obi.sourceforge.net/ontology/OBI.owl	A time course study design		Time interval variable is a direct experimental factor in which the varying parameter is a time interval describing the time of exposure of study participants to a treatment, intervention or other perturbational protocol.
treatment_variable	Treatment variable	http://obi.sourceforge.net/ontology/OBI.owl	direct_experimental_factor		http://obi.sourceforge.net/ontology/OBI.owl	A test of exposure to different compounds or procedures	CDISC definition:  investigational treatment. An intervention under investigation in a clinical trial.	Treatment variable is a direct experimental factor in which the varying parameter is a component of a treatment, intervention or perturbational protocol.
trial_monitor	Trial monitor	http://obi.sourceforge.net/ontology/OBI.owl	responsible_party		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition:  Person employed by the sponsor or CRO who is responsible for determining that a trial is being conducted in accordance with the protocol and GCP guidance. NOTE: A monitor's duties may include, but are not limited to, helping to plan and initiate a trial, assessing the conduct of trials, and assisting in data analysis, interpretation and extrapolation. Clinical Research Associate:  Primary representative of the sponsor; monitors progress of investigator sites participating in a clinical study.	Trial monitor is a responsible party involved in planning, overseeing the conduct of a study or study component, and interpreting data from a study
trial_site	Trial site	http://obi.sourceforge.net/ontology/OBI.owl	investigation_site		http://obi.sourceforge.net/ontology/OBI.owl	A hospital	CDISC definition:  trial site. The location(s) where trial related activities are actually conducted.	Trial site is an investigation site played by the physical location wherein a clinical study occurs
trial_statistician	Trial statistician	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition:  trial statistician. A statistician who has a combination of education/training and experience sufficient to implement the principles in the ICH E9 guidance and who is responsible for the statistical aspects of the trial. [ICH E9]	Trial statistician is a worker who analyzes data obtained during a trial or study; this role occurs after the trial or study is completed or terminated.
vehicle	Vehicle	http://obi.sourceforge.net/ontology/OBI.owl	negative_reference_substance		http://obi.sourceforge.net/ontology/OBI.owl	Corn oil, ethanol		Vehicle is a negative reference substance role played the solvent used to solvate a chemical used in the study and used to identify effects elicited by the solvent rather than by the solvated test substance
vehicle_control_treatment	Vehicle control treatment	http://obi.sourceforge.net/ontology/OBI.owl	sham_treatment		http://obi.sourceforge.net/ontology/OBI.owl	Deliver saline solution via gavage		Vehicle treatment is a sham treatment in which the solvent is delivered without the active test compound
vital_dye	Vital dye	http://obi.sourceforge.net/ontology/OBI.owl	dye_reporter		http://obi.sourceforge.net/ontology/OBI.owl	MTT		Vital dye is a dye which can be used to distinguish living and non-living tissue or cells
vitamin	Vitamin	http://obi.sourceforge.net/ontology/OBI.owl	nutritional_supplement		http://obi.sourceforge.net/ontology/OBI.owl	thiamine		An essential low molecular weight organic compound required in trace amounts for normal growth and metabolic processes. They usually serve as components of coenzyme systems. (Biology. online)
vulnerable_subject	Vulnerable subject	http://obi.sourceforge.net/ontology/OBI.owl	potential_study_participant		http://obi.sourceforge.net/ontology/OBI.owl	Person who believes the trial medication will cure them of cancer	vulnerable subjects. Individuals whose willingness to volunteer in a clinical trial may be unduly influenced by the expectation, whether justified	Vulnerable subject is a potential study participant role characterized by being unduly influenced by the expectation that participation in the trial will provide direct benefit
worker	Worker	http://obi.sourceforge.net/ontology/OBI.owl	study_personnel		http://obi.sourceforge.net/ontology/OBI.owl			Worker is a personnel role played by a party who executes a component of the study plan; this can occur before, during, after or outside the study timeline
Role		http://www.ifomis.org/bfo/1.1/snap						
