class	label	URI	parent_class	parent_label	parent_URI	alternative_term	alternative_term	example_of_usage	example_of_usage	example_of_usage	example_of_usage	owl:equivalentClass	definition_citation	definition_citation	branch	rdfs:comment	definition	editor_note	editor_note	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	preferred_term	curation_status
OBI_100016	blood plasma	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl	plasma		Fresh frozen plasma (FFP)					http://en.wikipedia.org/wiki/Blood_plasma				Blood plasma is the liquid component of blood, in which the blood cells are suspended.	This is in FMA		Melanie Courtot	Maura Gasparetto									blood plasma	definition_incomplete
OBI_100005	haplotype	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100002		http://obi.sourceforge.net/ontology/OBI.owl			The AMH 1.15 haplotype is also referred to as the Atlantic Modal Cluster or AMC					adapted from en.wikipedia.org/wiki/Haplotype	MO_146			A haplotype, or ""haploid genotype"", is a set of allelic states found at neighbouring loci in a chromosome, as inherited from a parent. Haplotype can be determined also as the genetic constitution of an individual chromosome. In the case of diploid organisms such as humans, the haplotype will contain one member of the pair of alleles for each site.	MC: definition says it is a haploid genotype. Should be a subclass of genotype then		Philippe Rocca-Serra										haplotype	definition_incomplete
OBI_100020	serotype	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl	allograft		Streptococcus pyogenes M3 serotype					MO_159				A serotype is a subdivision of a species of microorganism, eg, a bacteria, based upon its particular antigens.			Melanie Courtot	Tina Boussard									serotype	definition_incomplete
OBI_100002	genetic information content	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added																						genetic information content	definition_incomplete
OBI_100079	_move to role?	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending			this class should eventually be removed	All classes yet to be suitably placed in a hierarchy			James Malone											definition_incomplete
OBI_100003	allele	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100002		http://obi.sourceforge.net/ontology/OBI.owl			XPD 751Gln allele					http://en.wikipedia.org/wiki/Allele	MO_58			An allele is a viable DNA coding that occupies a given locus (position) on a chromosome. It represents one of two or more alternative forms of a gene or marker sequence at a given locus and differing from other alleles at one or more mutational sites based on phenotype or sequence.	bin under common 'Genotype' Placeholder. Do we also want recessive_allele etc? as Children or are these qualities. HP will check with PATO		Helen Parkinson	Melanie Courtot									allele	definition_incomplete
OBI_100026	organism	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			micro-organism	plant	fungus	animal		http://en.wikipedia.org/wiki/Organism				An organism is biomaterial entity that is an individual living system, such as animal, plant or micro-organism, that is capable of reproduction, growth and maintenance. An organism may be unicellular or made up, like humans, of many billions of cells divided into specialized tissues and organs.	examples: Archaea, Bacteria,Eukaryota,Viroids, Viruses rem1: OBI should link to an external resource (e.g. NCBI Taxonomy) Altdef: an organism is a biomaterial entity which is self-contained\nMC: virus and viroid are not organisms	organism "has_role_which_can_only_be_played_by_biomaterial_entity" some specimen_role, organism "has_role" some investigation_object_role in obi before split (LF 040907).	Melanie Courtot										organism	definition_incomplete
OBI_100056	immortalized cell line	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100055		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					OBI				An immortalized cell line is a cell line that is able to replicate indefinitely													immortalized cell line	definition_incomplete
OBI_100074	reverse transcribing virus	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100027		http://obi.sourceforge.net/ontology/OBI.owl			hepatitis B					http://en.wikipedia.org/wiki/Reverse_transcribing_viruses				A reverse transcribing virus is any virus which replicates using reverse transcription, the formation of DNA from an RNA template.			James Malone	Melanie Courtot									reverse transcribing virus	definition_incomplete
OBI_100027	virus	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			HPV					http://en.wikipedia.org/wiki/Virus	Immunobiology by Janeway & Travers 1997			A virus (from the Latin virus meaning toxin or poison) is a sub-microscopic infectious agent that is unable to grow or reproduce outside a host cell. Each viral particle, or virion, consists of genetic material, DNA or RNA, within a protective protein coat called a capsid. The capsid shape varies from simple helical and icosahedral (polyhedral or near-spherical) forms, to more complex structures with tails or an envelope. Viruses infect cellular life forms and are grouped into animal, plant and bacterial types, according to the type of host infected. Viruses must replicate in a living cell, as they cannot carry out metabolic processes on their own.	merged Maura Gasparetto _ Helen Parkinson\nMC: A virus is not an orgnism		Melanie Courtot	Maura Gasparetto									virus	definition_incomplete
OBI_100062	cell line culture	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100060		http://obi.sourceforge.net/ontology/OBI.owl			HeLa cells									long term culture of cells that are replicating continuosly. The cell population is homogenous but not clonal													cell line culture	definition_incomplete
OBI_100019	cohort	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100081		http://obi.sourceforge.net/ontology/OBI.owl			A group of individuals with the same disease					Tina Boussard/PharmGBK				A cohort is a group of individuals, identified by a common characteristic, who are studied over a period of time as part of an epidemiological investigation.			Helen Parkinson										cohort	definition_incomplete
OBI_100031	viroid	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			rice yellow mottle sobemovirus (RYMV)					http://en.wikipedia.org/wiki/Viroid				Viroids are plant pathogens that consist of a short stretch (a few hundred nucleobases) of highly complementary, circular, single-stranded RNA without the protein coat that is typical for viruses.			Melanie Courtot										viroid	definition_incomplete
OBI_100014	chimera	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100026		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending				An organism which contains cells or tissues with a different genotype	DS: Is a chimaera a natural_biomaterial? Not sure here.		Helen Parkinson										chimera	definition_incomplete
OBI_100006	genotype	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			p53 codon 72 genotype					MO_51				The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.	THIS ALSO SOUNDS LIKE NON-REALIZABLE INFORMATION ENTITY TO ME, HENCE DENRIE.  JAMES		Philippe Rocca-Serra										genotype	definition_incomplete
OBI_1000209	dye	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100079		http://obi.sourceforge.net/ontology/OBI.owl			Acridine orange is a nucleic acid selective dye.					source pending				A substance capable of staining or coloring defined targets.	REALLY NOT SURE IF THIS IS A ROLE OR BIOMATERIAL.  JAMES		OBI										dye	definition_incomplete
OBI_10000006	Triton_X-100	http://obi.sourceforge.net/ontology/OBI.owl	OBI_336		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending				definition pending			OBI										Triton_X-100	definition_incomplete
OBI_100059	experimental biomateral entity	http://obi.sourceforge.net/ontology/OBI.owl	_unclassified		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added										DS: what is this? Does the 'experimental' here refer to the biomaterials role in an experiment? Or does this refer to the metadata level, e.g. indicating this class' experimental status?												experimental biomateral entity	definition_incomplete
OBI_1000023	cell culture supernatant	http://obi.sourceforge.net/ontology/OBI.owl	_unclassified		http://obi.sourceforge.net/ontology/OBI.owl			solution containing RPMI, fetal calf sera, antibiotics, and monoclonal antibody UCHT1.					IEDB				Supernatant of a cell culture.  Contains media, supplements, and secreted products of the cells.			Bjoern Peters										cell culture supernatant	definition_incomplete
organization		http://obi.sourceforge.net/ontology/OBI.owl	material		http://obi.sourceforge.net/ontology/OBI.owl												A group of people who work together														
OBI_10000011	radioactive	http://obi.sourceforge.net/ontology/OBI.owl	Quality		http://www.ifomis.org/bfo/1.1/snap																										
OBI_100041	cultivar	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			Solanum tuberosum has a virus resistant cultivar Alcmaria					http://en.wikipedia.org/wiki/Cultivar	MO_124			A cultivar is a cultivated plant that has been selected and given a unique name because it has desirable characteristics (decorative or useful) that distinguish it from otherwise similar plants of the same species. When propagated it retains those characteristics.			Helen Parkinson	Melanie Courtot									cultivar	definition_incomplete
OBI_100037	artificially engineered biomaterial	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100080		http://obi.sourceforge.net/ontology/OBI.owl			chimeric mAb, chimeric mouse, GST-Rho protein					IEDB				Laboratory created combination of discrete biomaterials not usually found in nature. Created with the purpose of facilitating laboratory research.	THIS IS NOT A GOOD PARENT CONCEPT - THIS SHOULD BE A QUALITY.  JAMES		Bjoern Peters										artificially engineered biomaterial	definition_incomplete
OBI_100011	cytotoxic T-cell	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100009		http://obi.sourceforge.net/ontology/OBI.owl	killer T cell	T-Killer cell	CD8+ T cells are recognized as cytotoxic T-cells once they become activated					http://en.wikipedia.org/wiki/Cytotoxic_T-cell				A cytotoxic T-cell  belongs to a sub-group of T lymphocytes (a type of white blood cell) which are capable of inducing the death of infected somatic or tumor cells; they kill cells that are infected with viruses (or other pathogens), or are otherwise damaged or dysfunctional.			Melanie Courtot										cytotoxic T-cell	definition_incomplete
OBI_100028	archaea	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100071		http://obi.sourceforge.net/ontology/OBI.owl			Halobacterium					http://en.wikipedia.org/wiki/Archaea				An archaea  is an organism that is a single-celled prokaryote. In this they are similar to bacteria but these two groups evolved differently, and are classified as different domains in the three-domain system.			Melanie Courtot										archaea	definition_incomplete
OBI_1000049	whole mount preparation	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl	whole mount							OBI				A whole_mount is a histological preparation where the whole specimen is mounted or spread on the glass slide			Helen Parkinson										whole mount preparation	definition_incomplete
OBI_1000036	lysate	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			cell-free lysate, whole lysate, nuclear lysate					PSI				A mixture (collection) of cell components created by rupturing of the cell wall			Susanna										lysate	definition_incomplete
OBI_100008	unicellular organism	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100080		http://obi.sourceforge.net/ontology/OBI.owl			E Coli					none				Organism made up of a single cell	added as hierarchy term	MC: should be a child of organism?\nI THINK THIS IS LIKELY A QUALITY.  JAMES	Bjoern Peters (added term)										unicellular organism	definition_incomplete
