class	label	URI	parent_class	parent_label	parent_URI	alternative_term	alternative_term	alternative_term	alternative_term	owl:equivalentClass	example_of_usage	definition_citation	definition_citation	alternative_term_tag	rdfs:comment	definition	editor_note	editor_note	editor_note	definition_editor	definition_editor	definition_editor	preferred_term	curation_status	curation_status
OBI_400040	FACSAria	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						FACSAria at TSRI Flow Cytometry Core Facility	http://www.bdbiosciences.com/external_files/is/doc/mkt_lit/brochures/SJ-0003-00Aria.pdf				A FASCSAria is a flow_cytometer_sorter manufactured by Becton Dickinson. It features digital electronics, a solid state 488 nm blue laser, a solid state 407 nm violet laser, and a HeNe (633 nm) ion laser. The Aria has the filters and PMTs to collect side scatter and 9 flourescent parameters. The Aria has a photodiode detector for forward scatter collector. The flow cell is Quartz cuvette. The FACSAria is a sorter used to collect and analyse cells using up to 11 parameters.				John Quinn			FACSAria	curation_complete	
OBI_400006	A40-MiniFCM	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.apogeeflow.com/flow_cytometry_products.htm				A A40-MiniFCM is a flow_cytometer_analyser that allows for the choise of one of four lasers (375nm, 405nm,488nm, 532nm, 635nm), and PMTs and filters for collecting up to four parameters. It uses digital electronics. A military version of this cytometer is available as well. The A40-MiniFCM is geared towards the most demanding applications such as archaea, bacteria and large virus.				John Quinn			A40-MiniFCM	curation_complete	
OBI_400010	argon_ion_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400060		http://obi.sourceforge.net/ontology/OBI.owl						argon ion laser in a cytometer	John Quinn			http://en.wikipedia.org/wiki/Laser#Gas_lasers	An argon-ion laser is an ion laser that uses argon ions as the lasing medium. These lasers are used primarily to emit light at wave lengths of 458 nm, 488 nm or 514.5 nm, though it is possible to use them to emit several wavelengths of blue and green light. Argon-ion lasers can emit light at many different wave lenghts, and excite a number of different flourochromes.				Daniel Schober			argon_ion_laser	graph_position_temporary	
OBI_400030	dichroic_filter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400079		http://obi.sourceforge.net/ontology/OBI.owl						Cy3 Dichroic Filter	http://en.wikipedia.org/wiki/Dichroic_filter				A dichroic filter is an optical filter which is used to selectively pass light of a small range of colors while reflecting other colors. A dichroic filter passes the specified range of light whereas a dichroic mirror reflects the specified range of light.				John Quinn			dichroic_filter	graph_position_temporary	
OBI_400089	Reflection	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						Reflection at TSRI Flow Cytometry Core Facility	http://www.i-cyt.com/reflection.htm				A Reflection is a sorter manufactured by iCyte. It uses digital signal processing, and can be configured with lasers of the users choice from among these excitation wavelengths: 355, 405,488, 532, 635nm. It accommodates up to 48 traditional PMTs. Options include an acousto-optical tunable filter (AOTF) and 16 channel spectrometer (370 to 730 nm). The various detection components can be uniquely configured across multiple Highly Automated Parallel Sorting (HAPS) modules. The Reflection can be used to analyse, sort, and collect cells.				John Quinn			Reflection	curation_complete	
OBI_400004	labware	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400002		http://obi.sourceforge.net/ontology/OBI.owl						An example of labware are test tubes, petri dishes, glass beakers.	OBI			The class labware is here as a place holder class to accout for entities such as test tubes, beakers, centrifuge tubes etc. It is expected as we identify subclasses we will be in a better position to identify the hierarchy, the definition and possibly the label for this class.	Labware is a device that/which......				OBI InstrumentBranch			labware	graph_position_temporary	
OBI_400103	DNA_sequencer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						ABI 377 DNA Sequencer, ABI 310 DNA Sequencer	MO				A DNA sequencer is an instrument that determines the order of deoxynucleotides in deoxyribonucleic acid sequences.	FG: Definition normalised from raw import. AL: Typo fixed in definition.			Trish Whetzel			DNA_sequencer	curation_complete	
OBI_400078	obscuration_bar	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400080		http://obi.sourceforge.net/ontology/OBI.owl						obscuration bar in a flow cytometer	John Quinn			Flow Cytometry: First Principles, by Alice Longobardi Givan, ISBN-10: 0471382248, ISBN-13: 978-0471382249	An obscuration bar is a an optical subsystem which is a strip of metal or other material that serves to block out direct light from the illuminating beam. The obscuration bar prevents the bright light scattered in the forward directions from burning out the collection device.				Daniel Schober			obscuration_bar	graph_position_temporary	
OBI_400068	LSR2	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						LSR2 at TSRI Flow Cytometry Core Facility	http://www.bdbiosciences.com/external_files/is/doc/mkt_lit/brochures/live/web_enabled/SJ-0142-00LSR2.pdf				A LSR2 is a sorter manufactured by Becton Dickinson. It features digital electronics, a solid state 488 nm blue laser and optionally can also have any combination of solid state UV (355 nm) and violet (405 nm) lasers and the a HeNe (633 nm) ion laser. The LSR2 has the filters and PMTs to work with 13 flourescent parameters. The LSR II is one of the most common sorters in use.				John Quinn			LSR2	curation_complete	
OBI_400094	sheath_tank	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						LSR2 sheath tank	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				Part of the fluidics system. The sheath tank is the vessel that holds the sheath fluid at a constant pressure, allowing for it to be pushed into the flow chamber at a constant rate. The sheath tank holds the pressurized sheath fluid.				John Quinn			sheath_tank	graph_position_temporary	definition_incomplete
OBI_400014	BioSorter1000	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						BioSorter 1000 at TSRI Flow Cytometry Core Facility	http://www.unionbio.com/products/BioSorter.html				A BioSorter1000 is a flow_cytometer_sorter manufactured by Union Biometrica. It includes analog electronics, 488/514 nm multi-line Argon-ion laser for fluorescence and a light stabilized 670 nm forward scatter laser for extinction and time-of-flight. It has filters and PMTs for 3 fluorescent parameters and photodiodes for scatter, time of flight, and extinction. The flow cell is quartz cuvette. The BioSorterTM 1000 is an instrument for analyzing and sorting objects from 200-600 microns in diameter.				John Quinn			BioSorter1000	curation_complete	
OBI_400065	light_source	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400080		http://obi.sourceforge.net/ontology/OBI.owl							Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				A light source is an optical subsystem that provides light for use in a distant area using a delivery system (e.g., fiberoptics). Light sources may include one of a variety of lamps (e.g., xenon, halogen, mercury). Most light sources are operated from line power, but some may be powered from batteries. They are mostly used in endoscopic, microscopic, and other examination and/or in surgical procedures. The light source is part of the optical subsystem. In a flow cytometer the light source directs high intensity light at particles at the interogation point. The light source in a flow cytometer is usually a laser.	DS: this is a role I guess, not an instrument.			Olga Tchuvatkina	John Quinn	Elizabeth M. Goralczyk	light_source	graph_position_temporary	
OBI_52	microarray_platform	http://obi.sourceforge.net/ontology/OBI.owl	OBI_50		http://obi.sourceforge.net/ontology/OBI.owl											A microarray platform is a platform that contains the instruments, software and reagents needed to perform a microarray protocol. definition_source: OBI.									
OBI_400113	oligonucleotide_synthesizer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Automated Multiplex Oligonucleotide Synthesizer	MO				An instrument used to chemically synthesize oligonucleotides.				Trish Whetzel			oligonucleotide_synthesizer	curation_complete	
OBI_400041	FACSvantage	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						FACSvantage at TSRI Flow Cytometry Core Facility	http://www.bdbiosciences.com/features/products/display_product.php?keyID=42				The FACSvantage is a flow_cytometer_sorter manufactured by Becton Dickinson. It has analog electronics, three lasers (several options are available), and the filters and PMTs to collect 6 fluorescent parametersand side scatter, and a photodiode to collect forward scatter. The FACSvantage can be used to analyse, sort and collect cells.				John Quinn			FACSvantage	curation_complete	
OBI_400055	inFlux_Analyzer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.cytopeia.com/analyzer.htm				The inFlux Analyzer is a flow_cytometer_analyser manufactured by Cytopeia. It is a digital machine, with these laser options: Coherent 70, 90, 300 series water cooled lasers, solid state UV 355nm, Violet 408nm, Violet-Blue 479nm, Blue-488nm, Green-531nm, Red-635nm, Red-647nm. FIlters and PMTs are used for all parameters (including forward light scatter), and up to 12 PMTs can be included. The Influx analyser can be used to measure the properties of individual cells.				John Quinn			inFlux_Analyzer	curation_complete	
OBI_400142	power_pack	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						example_of_usage to be added	Daniel Schober				A power pack is an instrument permitting the required application of an electrical charge to an instrument. The power pack may permit the defined application of a given amount of current for a defined length of time.				Daniel Schober			power_pack		
OBI_400067	long_pass_filter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400079		http://obi.sourceforge.net/ontology/OBI.owl						750 LP filter	http://en.wikipedia.org/wiki/high-pass_filter				A long pass filter is an optical filter that passes high wavelengths of light but attenuates (or reduces) wavelengths lower than the cutoff frequency. A long pass filter with a cutoff of 500 nm would pass all wavelengths greater than 500 nm.				John Quinn			long_pass_filter	graph_position_temporary	
OBI_400095	short_pass_filter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400079		http://obi.sourceforge.net/ontology/OBI.owl						620 SP filter	http://en.wikipedia.org/wiki/Low-pass_filter				A short pass filter is an optical filter that passes low wavelengths of light but attenuates (or reduces) wavelengths higher than the cutoff frequency. A short pass filter with a cutoff of 500 nm would pass all wavelengths less than 500 nm.				John Quinn			short_pass_filter	graph_position_temporary	
OBI_400017	BioSorter500	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						BioSorter 500 at TSRI Flow Cytometry Core Facility	http://www.unionbio.com/products/BioSorter.html				A BioSorter500 is a flow_cytometer_sorter manufactured by Union Biometrica. It includes analog electronics, 488/514 nm multi-line Argon-ion laser for fluorescence and a light stabilized 670 nm forward scatter laser for extinction and time-of-flight. It has filters and PMTs for 3 flourescent parameters and photodiodes for scatter, time of flight, and extinction. The flow cell is quartz cuvette. The BioSorterTM 500 is an instrument for analyzing and sorting objects from 100-250 microns in diameter and less than 2mm in length.				John Quinn			BioSorter500	curation_complete	
OBI_400002	device	http://obi.sourceforge.net/ontology/OBI.owl	material		http://obi.sourceforge.net/ontology/OBI.owl	hardware					A device can be any instrument such as a mass spectrometer or lab ware such as a petri dish	Frank Gibson				A device is an artefact_object that is designed with the intent to provide an advantage as a participant in a process.				Frank Gibson			device	curation_complete	
OBI_400053	helium_neon_ion_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400060		http://obi.sourceforge.net/ontology/OBI.owl						helium neon ion laser in a cytometer	John Quinn			http://en.wikipedia.org/wiki/Laser#Gas_lasers\nThis laser is less expensive than most others used in flow cytometry. A helium neon laser can by used to irradiate cells in a flow cytometer.	A helium-neon laser (HeNe) is an ion laser that uses helium and neon gas-ions as lasing medium. HeNe lasers emit at 543 nm and 633 nm most commonly and can also be used at 543, 594, and 611 nm.				Daniel Schober			helium_neon_ion_laser	graph_position_temporary	
OBI_400096	solid_state_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400064		http://obi.sourceforge.net/ontology/OBI.owl						Solid State Heat Capacity Laser developed at DOE's Lawrence Livermore National Laboratory for the USA Army's Space and Missile Defense Command	http://en.wikipedia.org/wiki/Solid-state_laser				A solid-state laser is a laser that uses a lasing medium that is a solid, rather than a liquid such as dye lasers or a gas such as gas lasers. Semiconductor-based diode lasers are also in the solid state, but are generally considered separately from solid-state lasers. The first laser developed was an optical pumped ruby cristal solid state laser.				Daniel Schober			solid_state_laser	graph_position_temporary	
OBI_400044	flow_cytometer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400137		http://obi.sourceforge.net/ontology/OBI.owl						FACS Calibur	http://en.wikipedia.org/wiki/Flow_cytometer				A flow_cytometer is an instrument for counting, examining and sorting microscopic particles in suspension. It allows simultaneous multiparametric analysis of the physical and/or chemical characteristics of single cells flowing through an optical and/or electronic detection apparatus. A flow cytometer is an instrument that can be used to quantitatively measure the properties of individual cells in a flowing medium.	DS: Is this class justified? (has currently only one subclass), ask Ryan and Function Branch for differrentiae...			John Quinn			flow_cytometer	curation_complete	
OBI_10000005	paper_filter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						example_of_usage to be added	source pending				definition pending	editor_note pending			OBI Instrument branch			paper_filter		
OBI_400060	ion_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400047		http://obi.sourceforge.net/ontology/OBI.owl						2 Watt Lexel 88 Argon Ion laser	John Quinn			http://en.wikipedia.org/wiki/Ion_laser	An ion laser is a gas laser which uses an ionized gas as its lasing medium.				Daniel Schober			ion_laser	graph_position_temporary	
OBI_400056	Influx_Cell_Sorter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						Influx Cell Sorter at TSRI Flow Cytometry Core Facility	http://www.cytopeia.com/sorter.htm				A Influx Cell Sorter is a flow_cytometer_sorter manufactured by Cytopeia. It is a digital machine, with these laser options: Coherent 70, 90, 300 series water cooled lasers, solid state UV 355nm, Violet 408nm, Violet-Blue 479nm, Blue-488nm, Green-531nm, Red-635nm, Red-647nm. The sorting is multi-way, index, and proportional sorting. FIlters and PMTs are used for all parameters (including forward light scatter), and up to 12 PMTs can be included. The Influx cell sorter can be used to measure, sort, and collect ndividual cells.				John Quinn			Influx_Cell_Sorter	curation_complete	
OBI_400042	FC_500	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.beckmancoulter.com/products/instrument/flowcytometry/fc500series.asp				A FC_500 is a flow_cytometer_analyser manufactured by Beckman Coulter. It features digital electronics, 488 nm and 635 nm lasers, filters and PMTs for 5 flourescent parameters, a diode for collecting side scatter and a solid state detector for forward scatter. The FC 500 is an analyser usually used for either research or clinical applications.				John Quinn			FC_500	curation_complete	
OBI_400011	avalanche_photodiode	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400083		http://obi.sourceforge.net/ontology/OBI.owl						C30644E -  InGaAs Avalanche Photodiode	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				An avalanche photodiode is typically used to collect photons emmitted by forward scatter because it is far less sensitive, and less likely o be burned out, than a PMT. A photodiode wih high quantom efficiency and a mechanism for producing gains as high as a few  thousand.				John Quinn			avalanche_photodiode	graph_position_temporary	definition_incomplete
OBI_400059	?interrogation_point	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						Interrogation point in BD FACS Calibur	http://www.flocyte.com/FRTP/Resources/flow_cytometry_glossary.htm, 2007-05-11				Point within the fluidic subsystem at which the laser intersects the stream, illuminating the cells where they emit their fluorescence and scatter the light. The laser irratidates the cell at the interogation point.	DS: Spatial entity?			John Quinn			interrogation_point	graph_position_temporary	definition_incomplete
OBI_10000002	gamma_counter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl							http://en.wikipedia.org/wiki/Gamma_counter				A gamma counter is an instrument which measures gamma radiation emitted by a radionuclide.				Frank Gibson			gamma_counter		
OBI_400012	Bactiflow	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.chemunex.com/products/chemframe.htm				A Bactiflow is a flow_cytometer_analyser manufactured by Chemunex SA. It is a cell counter for bacteria and other micro organisms. Bacteria are stained with a fluorochrome and the number of particles that fluoresce are counted. The system uses digital electronics, a single laser and a single detector. An ALS version is available as well - Automatic Labeling System. The Bactiflow is specialized cytometer used exclusively for counting microbes.				John Quinn			Bactiflow	curation_complete	
OBI_51	liquid_chromatography_mass_spectrometry_platform	http://obi.sourceforge.net/ontology/OBI.owl	OBI_50		http://obi.sourceforge.net/ontology/OBI.owl											A liquid chromatography mass spectrometry platform is a platform that is the collection of instrument, software and reagents needed to perform a liquid chromatography mass spectrometry protocol. definition_source: OBI.									
OBI_400104	array_scanner	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						GenePix 4200A, GenePix4000B	MO				An array scanner is an instrument which acquires visual images of microarray chips by measuring fluorescence (induced with lasers) from labeled molecules on the surface of the microarray chip and converts the information into digital data.	FG: definition normalised from raw import			Trish Whetzel			array_scanner	curation_complete	
OBI_400091	sample_tube	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400081		http://obi.sourceforge.net/ontology/OBI.owl						sample tube in a cytometer	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				A partical delivery vessel. The sample tube is a vessel in which the sample is introduced to the cytometer. Frequently the tube is placed on the cytometer in such a manner that a seal is formed between the tube and cytometer, and gas is used to create enough pressure to push the sample out of the tube and into the cytometer.				John Quinn			sample_tube	graph_position_temporary	definition_incomplete
OBI_400048	Guava_EasyCyte_Mini	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.guavatechnologies.com/main/products/easyCyteMini.cfm				A Guava_EasyCyte_Mini is a flow_cytometer_analyser that includes a single 488 nm laser, and filters and PMTs to collect up to 3 flourescent parameters. It includes a photodiode forward scatter collector and an optional photodiode for side scatter collection.Guava cytometers use aspiration instead of fluid systems to transport cells within the machine. The mini accepts tubes only for inputing cells or beads. The Guava_EasyCyte_Mini cytometer is a small portable cytometer particularly useful for field measurement.				John Quinn			Guava_EasyCyte_Mini	curation_complete	
OBI_400119	microarray_wash_station	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						ArrayIt®  Microarray Wash Station	MO				A microarray wash station is an instrument used to wash Affymetrix-type arrays.	AL: definition normalised from raw import			Trish Whetzel			microarray_wash_station	raw import	
OBI_400038	FACS_Canto2	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.bdbiosciences.com/cgi-bin/literature/view?part_num=23-8786-01				A FACS_Canto2 is a flow_cytometer_analyser manufactured by BD. It features digital electronics, two solid state lasers at 488 and 633 nm with the option for a third 405 nm laser, and filters and collectors for measuring up to 8 flourescent paramters with either the 2 or 3 laser option. The FACS_Canto2 is an analyser usually used in clinical aplications.				John Quinn			FACS_Canto2	curation_complete	
OBI_400028	CytoSence	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.cytobuoy.com/				A CytoSense is a flow_cytometer_analyser manufactured by Cyto Buoy Inc. They are a single laser, multi parameter instrument. Various types of micro-laser are offered; available measuring parameters are forward light scatter, side scatter, and fluorescence (max. 9 colour bands). The current series have 5 parameters. The CytoSense is the basic instrument, which can be used for normal laboratory applications, as well as for autonomous monitoring with internal data logging or direct data transmission. The special instrument design and its splashproof housing allow operation on moving platforms and outdoor sites.				John Quinn			CytoSence	curation_complete	
OBI_400024	CyFlow_SL	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.partec.de/products/cyflow.html				A CyFlow_Sl is a flow_cytometer_analyser manufactured by Partec. Its specs are: ultracompact and fully equipped mobile/portable instrument, dimensions [cm]: L 43 x H 16 x D 37, highest stability/robustness and highest precision, 5 optical parameters: FSC, SSC, FL-1, FL-2, FL-3, 20mW@488nm blue solid state laser , other laser light sources optional (UV, violet, green, red), WindowsTM XP FloMax (software for realtime data acquisition, data display, and data evaluation), parallel 16 bit digital pulse processing Compact mobile Flow Cytometer for any kind of cell analysis and absolute volumetric counting. The CyFlow_SL allows to analyze forward and side scatter signals in combination with up to 3 fluorescence channels.				John Quinn			CyFlow_SL	curation_complete	
OBI_400036	FACS_Calibur	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						"FACS Calibur at TFL, BCCRC, Vancouver"	"http://www.bdbiosciences.com/immunocytometry_systems/products/display_product.php?keyID=45, 2007-05-11"				The FACS Calibur is one of the most popular cytometers in use for research.	editor_note pending			John Quinn			FACS_Calibur	graph_position_temporary	
OBI_400100	syringe_pump	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						NE-1000 Single Syringe Pump	http://www.answers.com/topic/syringe, 2007-05-11				Part of the fluidics system. A syringe pump can be used to inject the sample fluid and cells into the sheath fluid in the flow chamber. Syringe pumps are useful for creating stable flow rates.				John Quinn			syringe_pump	definition_incomplete	graph_position_temporary
OBI_400003	instrument	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400002		http://obi.sourceforge.net/ontology/OBI.owl						An example of an instrument is a mass spectrometer or a flow cytometer	OBI InstrumentBranch				An instrument is a device which provides a mechanical or electronic advantage as a participant in a process	MC: should we rename this to scientifical_instrument? FG: No I dont think so, They are instruments used in the context of scientific experiments, we dont need the prefix.	rem1: At the meeting in Philly I wrote that BS said that it should be a count term, such as a set of instruments. By allowing connected devices we avoid the problem of things like LCMS being considered separate items, since we have a number of discrete functions like separation, making things fly, monitoring the charge and mass of what flies etc that are all part of a single machine.		OBI InstrumentBranch			instrument	graph_position_temporary	
OBI_400101	voltage_amplifier	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Linear amplifier, log amplifier, microwave amplifier	http://en.wiktionary.org/wiki/amplifier				A voltage amplifier is part of an electroncs subsystem. It is an appliance or circuit that increases the strength of a weak electrical signal without changing the other characteristics of the signal. The voltage amplifier boosts the signal strength output from the PMT.				John Quinn			voltage_amplifier	definition_incomplete	graph_position_temporary
OBI_400019	charge_plate	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						LSR2 charge plate	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				Part of the fluidics subsystem. Charge plates are used or sorters. They create an charged electric field when particles deemed to be desired for further analysis are shaken form the piexo electric crystal. The charged particles are drawn toward the charged plate, and the altered drop location causes the particles to fall into a collection tube. Charge plates enable sorting.				John Quinn			charge_plate	definition_incomplete	graph_position_temporary
OBI_400109	homogenizer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						mortar, blender	http://en.wikipedia.org/wiki/Homogenizer				A homogenizer is an instrument for the homogenization of various types of material, such as tissue, plant, food, soil, and many others.				Trish Whetzel	Melanie Courtot		homogenizer	curation_complete	
OBI_400111	hybridization_station	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Labnet Problot12	MO				An instrument which is used to maintain the temperature of one or more hybridization_chamber(s) at a defined, constant temperature.	MC: should be a station with role hybridization?			Trish Whetzel			hybridization_station	raw import	
OBI_400080	optical_subsystem	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						optical subsystem of a cytometer	John Quinn				An optical subsystem is an instrument or part of an instrument that deals with the behavior and properties of light and the interaction of light with matter. Commonly optical subsystems consist of an excitation optics and collection optics. The excitation optics of a flow cytometer optical subsystem consist of the laser and lenses that are used to shape and focus the laser beam. The collections optics consist of a collection lens to collect light emitted from the particle laser beam interaction and a system of optical mirrors and filters to route specified wavelengths of the collected light to designated optical detectors. The optical subsystem in a flow cytometer consists of the equipment used to irradiate particles, and collect the light either emmitted or scattered by those particles.	DS: Is 'subsytem' necessary or is 'optical_system' enough. Not sure its graph position since an optical subsystem is not necessarily an instrument, but more likely part of one.			Daniel Schober			optical_subsystem	graph_position_temporary	
OBI_400029	CytoSub	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.cytobuoy.com/				A CytoSub is a flow_cytometer_analyser manufactured by Cyto Buoy Inc. They are a single laser, multi parameter instrument. Various types of micro-laser are offered; available measuring parameters are forward light scatter, side scatter, and fluorescence (max. 9 colour bands). The current series have 5 parameters. The CytoSub is the submersible version equipped with a high pressure sample inlet loop and a high pressure housing to allow underwater operation down to 200 m, lowered on a cable or mounted on a flooded underwater vehicle.				John Quinn			CytoSub	curation_complete	
OBI_400071	MACS_Quant	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.miltenyi.com				A MACS Quant is a flow_cytometer_analyser manufactured by Miltenyi. It uses digital electronics, and has three lasers of wavelengths 405 nm, 488 nm, and 635 nm. It has filters and dectors to collect 7 flourescent parameters and 2 scatter parameters. The MACS Quant is an analyser usually used in research applications.				John Quinn			MACS_Quant	curation_complete	
OBI_400031	dichroic_mirror	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400079		http://obi.sourceforge.net/ontology/OBI.owl						ViewLux Alexa 594 dichroic mirror	http://en.wikipedia.org/wiki/Dichroic_mirror				A dichroic mirror is an optical filter which is used to selectively reflect light of a small range of colors while passing other colors. A dichroic filter passes the specified range of light whereas a dichroic mirror reflects the specified range of light.				John Quinn			dichroic_mirror	graph_position_temporary	
OBI_400052	helium_cadmium_ion_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400073		http://obi.sourceforge.net/ontology/OBI.owl						KIMMON HeCd 325nm laser	http://en.wikipedia.org/wiki/Laser#Gas_lasers				A helium-cadmium laser is a metal vapor laser that emits wavelengths of 442, 325 and 354 nms. This laser is a metal vapor laser. A helium-cadmium laser can by used to irradiate cells in a flow cytometer.				John Quinn			helium_cadmium_ion_laser	graph_position_temporary	
OBI_10000004	polystyrene_tube	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl	scintillation_tubes					example_of_usage to be added	source pending				definition pending	editor_note pending			OBI			polystyrene_tube		
OBI_400146	multispectral_imaging_flow_cytometer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl	MIFC						http://www.amnis.com/				A multispectral_imaging_flow_cytometer is an instrument which combines quantitative image analysis and flow cytometry in a single platform. It measures the amount, location and movement of molecules on, in, or between cells, and  the location and co-localization of multiple markers on or in cells. It can also quantitate morphologically distinct cell subpopulations.				Melanie Courtot			multispectral_imaging_flow_cytometer	curation_complete	
OBI_400049	Guava_EasyCyte_Plus	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.guavatechnologies.com/main/products/easycyte-new.cfm				A Guava_EasyCyte_Plus System is a flow_cytometer_analyser that includes a single 488 nm laser, and filters and PMTs to collect up to 4 fluorescent parameters. It includes a photodiode forward scatter collector and an optional photodiode for side scatter collection.Guava cytometers use aspiration instead of fluid systems to transport cells within the machine. The EasyCyte plus accepts 96 well plates as well as tubes. The Guava_EasyCyte_Plus cytometer is a small portable cytometer particularly useful for field measurement.				John Quinn			Guava_EasyCyte_Plus	curation_complete	
