class	label	URI	parent_class	parent_label	parent_URI	OBI_0000283	OBI_0000291	OBI_0000291	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000275	OBI_0000275	OBI_0000275	OBI_0000287	OBI_0000287	OBI_0000287	OBI_0000287	OBI_0000288	rdfs:comment	OBI_0000281	OBI_0000284	OBI_0000277	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000285	OBI_0000286	OBI_0000286	OBI_0000286	OBI_0000286
OBI_0200000	data transformation	http://purl.obofoundry.org/obo/OBI_0200000	OBI_0000069		http://purl.obofoundry.org/obo/OBI_0000069		a protocol application which has the objective to  produce output data from input data	A data transformation is a protocol application whose input and output consist of data	Branch editors													data transformation	A protocol application which has the objective to produce output data from input data				James Malone	Melanie Courtot	Tina Hernandez-Boussard	Elisabetta Manduchi	Richard Scheuermann	Helen Parkinson	Ryan Brinkman					data analysis	data processing		
OBI_0500024	standard compliance rule	http://purl.obofoundry.org/obo/OBI_0500024	OBI_0500023		http://purl.obofoundry.org/obo/OBI_0500023		a  standard compliance rule is a compliance rule which defines conformity to a representation standard		PRS						MSI			example to be added				standard compliance rule					PRS														
OBI_0400065	light_source	http://purl.obofoundry.org/obo/OBI_0400065	OBI_0400080		http://purl.obofoundry.org/obo/OBI_0400080		A light source is an optical subsystem that provides light for use in a distant area using a delivery system (e.g., fiberoptics). Light sources may include one of a variety of lamps (e.g., xenon, halogen, mercury). Most light sources are operated from line power, but some may be powered from batteries. They are mostly used in endoscopic, microscopic, and other examination and/or in surgical procedures. The light source is part of the optical subsystem. In a flow cytometer the light source directs high intensity light at particles at the interogation point. The light source in a flow cytometer is usually a laser.		Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253						DS: this is a role I guess, not an instrument.							light_source					John Quinn	Olga Tchuvatkina	Elizabeth M. Goralczyk												
OBI_0200123	skewness calculation	http://purl.obofoundry.org/obo/OBI_0200123	OBI_0200078		http://purl.obofoundry.org/obo/OBI_0200078		A skewness calculation is a descriptive statistics calculation defined as a parameter that describes how much a distribution (or a data set) varies from a bell-shaped curve.  See http://www.riskglossary.com/link/skewness.htm for details.  It is also known as the third central moment		WEB: http://www.riskglossary.com/link/skewness.htm						From Monnie's file comments - need to add moment calculation role but they doesn't exist yet - (editor note added by James Jan 2008)							skewness calculation					Monnie McGee														
OBI_0100080	_move to quality?	http://purl.obofoundry.org/obo/OBI_0100080	ObsoleteClass		http://www.geneontology.org/formats/oboInOwl#ObsoleteClass		All classes yet to be suitably placed in a hierarchy		source pending									example_of_usage to be added					this class should eventually be removed				James Malone														
OBI_0000199	software interpreter	http://purl.obofoundry.org/obo/OBI_0000199	OBI_0000270		http://purl.obofoundry.org/obo/OBI_0000270		A  software interpreter is a generically dependent realizable entity that takes, as input, some digital entity, and takes action driven by the information content of that digital entity		group:OBI						Do we care? Jennifer: Yes, there was a particular version of R that had a bug and it was fixed later. That would imply that we mean specific version of an interpreter. So an instance of this would be a particular version of the interpreter			R program, Perl interpreter, Java virtual machine				software interpreter					person:Alan Ruttenberg	person:Chris Stoeckert													
OBI_0000042	data set	http://purl.obofoundry.org/obo/OBI_0000042	OBI_0000142		http://purl.obofoundry.org/obo/OBI_0000142		A data set is an information content entity that is an aggregate of other information_content_entities that have something in common and are considered to form a unit.		group:OBI													data set					person:Chris Stoeckert	person:Allyson													
OBI_0000167	electronic case report form	http://purl.obofoundry.org/obo/OBI_0000167	OBI_0000195		http://purl.obofoundry.org/obo/OBI_0000195		An electronic case report form is a digital document used to record all of the protocol required information to be reported for each trial subject. An eCRF has the property that it can be audited and compliant with requirements of 21 CFR Part 11.															electronic case report form					person:Jennifer Fostel														
OBI_0200033	leave one out cross validation method	http://purl.obofoundry.org/obo/OBI_0200033	OBI_0200067		http://purl.obofoundry.org/obo/OBI_0200067																	leave one out cross validation method																			
OBI_0200061	data imputation	http://purl.obofoundry.org/obo/OBI_0200061	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		Imputation is a means of filling in missing data values from a predictive distribution of the missing values.  The predictive distribution can be created either based on a formal statistical model (i,e, a multivariate normal distribution) or an algorithm.		ARTICLE: Little, RJA and Rubin, DB (2002).  Statistical Analysis with Missing Data, Second Edition.  John Wiley: Hoboken New Jersey, pp. 59-60.													data imputation					Monnie McGee														
OBI_0400027	CytoBuoy	http://purl.obofoundry.org/obo/OBI_0400027	OBI_0400008		http://purl.obofoundry.org/obo/OBI_0400008		A CytoBuoy is a flow_cytometer_analyser manufactured by Cyto Buoy Inc. They are the buoy mounted version of the CytoSense, equipped with wireless transmission of control and data files.They are a single laser, multi parameter instrument. Various types of micro-laser are offered; available measuring parameters are forward light scatter, side scatter, and fluorescence (max. 9 colour bands). The current series have 5 parameters.		http://www.cytobuoy.com/									CytoBuoy can be used to conduct extended and/or high frequency time series of phytoplankton distribution and abundance on fixed locations				CytoBuoy					John Quinn, Melanie Courtot														
OBI_0100038	vector	http://purl.obofoundry.org/obo/OBI_0100038	OBI_0100079		http://purl.obofoundry.org/obo/OBI_0100079		A vector is a vehicle for transferring genetic material into a cell. It is an autonomous replicating vehicle which can be modified by the insertion of foreign DNA and when introduced into recipient cells does not alter the viability of those cells.		Adapted from http://en.wikipedia.org/wiki/Vector_%28biology%29						PRS: Vector should treated as a role ->submission to tracker			viral vector	The DNA expressing the protein of interest was inserted within pM13 which was then transfected into a cell line to facilitate expression of the protein.	plasmid vector		vector					Philippe Rocca-Serra	Susanna Sansone	Melanie Courtot												
OBI_1000029	phage display library	http://purl.obofoundry.org/obo/OBI_1000029	OBI_0302714		http://purl.obofoundry.org/obo/OBI_0302714		a display library is a collection of materials in which a mixture of genes or gene fragments is expressed and can be individually selected and amplified.		WEB: http://www.immuneepitope.org/home.do						PRS: 22022008. class moved under population,\nmodification of definition and replacement of biomaterials in previous definition with 'material'\naddition of has_role restriction			PMID: 15905471.Nucleic Acids Res. 2005 May 19;33(9):e81.Oligonucleotide-assisted cleavage and ligation: a novel directional DNA cloning technology to capture cDNAs. Application in the construction of a human immune antibody phage-display library. [Phage display library encoding fragments of human antibodies. m-rna library encoding for 9-mer peptides]				phage display library					Bjoern Peters	Philippe Rocca-Serra										display_library			
OBI_0000108	Sham treatment	http://purl.obofoundry.org/obo/OBI_0000108	OBI_0000177		http://purl.obofoundry.org/obo/OBI_0000177		Sham treatment is a reference treatment designed to mimic the harmless portion of an intervention; e.g. treatment with vehicle alone, placebo or sham surgery.		source pending									Shave animals but do not apply treatment to skin				Sham treatment					Jennifer Fostel														
OBI_0000185	imaging assay	http://purl.obofoundry.org/obo/OBI_0000185	OBI_0000070		http://purl.obofoundry.org/obo/OBI_0000070		An imaging assay is an assay to produce a picture of an entity. definition_source: OBI.		OBI branch derived													imaging assay					PlanAndPlannedProcess Branch														
OBI_0000119	number of particles in subset	http://purl.obofoundry.org/obo/OBI_0000119	OBI_0000305		http://purl.obofoundry.org/obo/OBI_0000305		A number of particles in subset is a datum measuring the the number of subjects in a defined subset in a flow cytometer instrument. The datum has a qualitative role								quantity			500, 200, 0				number of particles in subset					person:Kevin Clancy														
OBI_0100066	organ section	http://purl.obofoundry.org/obo/OBI_0100066	OBI_0100059		http://purl.obofoundry.org/obo/OBI_0100059		An organ_section is a portion of an organ removed from the context of the organ		CEBS						section needs to be added as process\nPRS 22-02-2008: organ has input_role in protocol_application histological preparation.\nAlso how different it is from a fragment			A liver slice used in a perfusion experiment				organ section					Helen Parkinson														
OBI_0000016	regulation-assigned role	http://purl.obofoundry.org/obo/OBI_0000016	OBI_0000017		http://purl.obofoundry.org/obo/OBI_0000017		Regulation-assigned role is a regulatory role defined by legislation or governmental orders											Approval letter				Regulation-assigned role					Jennifer Fostel														
OBI_0200133	node outdegree calculation	http://purl.obofoundry.org/obo/OBI_0200133	OBI_0200129		http://purl.obofoundry.org/obo/OBI_0200129		A node quality calculation in which an input data set describing object nodes and directional relationship edges between object nodes is used to enumerate the number of unique relationships pointing out of an individual object node.		PERSON: Richard Scheuermann													node outdegree calculation					Richard Scheuermann														
OBI_0000225	investigation site role	http://purl.obofoundry.org/obo/OBI_0000225	Role		http://www.ifomis.org/bfo/1.1/snap#Role		Investigation site is a role born by a site or material realized in an investigation which is located at the investigation site		source pending						solution1: is a physical location, should maybe go under processual context, and then be used in conjunction with the located relation	site is a material (building) having the role site	solution2: site is related to trial used located_in relation - site can bear the role	A field, a laboratory, a medical institute, a pharmaceutical company				Investigation site					Jennifer Fostel														
OBI_0000153	cell co-culturing	http://purl.obofoundry.org/obo/OBI_0000153	OBI_0000094		http://purl.obofoundry.org/obo/OBI_0000094		A material combination in which cell cultures of two or more different types are are combined and allowed to culture as one.		OBI branch derived									Culturing  cytotoxic T-lymphocytes together with target cells in order to study lysis of the target cells. See chromium_release_assay				cell co-culturing																			
OBI_0100046	phosphate buffered saline solution	http://purl.obofoundry.org/obo/OBI_0100046	OBI_0302729		http://purl.obofoundry.org/obo/OBI_0302729		Phosphate buffered saline (abbreviated PBS) is a buffer solution commonly used in biochemistry. It is a salty solution containing sodium chloride, sodium phosphate and potassium phosphate. The buffer helps to maintain a constant pH. The concentration usually matches the human body (isotonic).		http://en.wikipedia.org/wiki/Phosphate_buffered_saline									PMID: 16279733.Dent Mater J. 2005 Sep;24(3):414-21.PBS buffer solutions with different pH values can change porosity of DNA-chitosan complexes.				phosphate buffered saline solution					Melanie Courtot	Tina Boussard	Philippe Rocca-Serra									PBS buffer			
OBI_0400009	arc_lamp	http://purl.obofoundry.org/obo/OBI_0400009	OBI_0400065		http://purl.obofoundry.org/obo/OBI_0400065		Arc lamp is a light source  that produces light by an electric arc (or voltaic arc). The lamp consists of two electrodes typically made of tungsten which are separated by a gas. The type of lamp is often named by the gas contained in the bulb; including neon, argon, xenon, krypton, sodium, metal halide, and mercury. The electric arc in an arc lamp consists of gas which is initially ionized by a voltage and is therefore electrically conductive. To start an arc lamp, usually a very high voltage is needed to ignite or strike the arc. This requires an electrical circuit sometimes called an igniter, which is part of a larger circuit called the ballast. The ballast supplies a suitable voltage and current to the lamp as its electrical characteristics change with temperature and time. Older cytometers may use arc lamps to irradiate particles at the interogation point.		http://en.wikipedia.org/wiki/Arc_lamp									The Jablochkoff Candle				arc_lamp					John Quinn														
OBI_0000044	physical_document	http://purl.obofoundry.org/obo/OBI_0000044	OBI_0000141		http://purl.obofoundry.org/obo/OBI_0000141		A physical document is an object serving as a record of information by means of symbolic marks.		OBI						information_content_entity "is_encoded_in" some physical_document in obi before split (040907).	BP: moved and renamed for BFO																									
OBI_0600063	cell growth mediated amplification	http://purl.obofoundry.org/obo/OBI_0600063	OBI_0000035		http://purl.obofoundry.org/obo/OBI_0000035		is the generation of copies of biomaterial by in a cell_culture modified for this purpose by insertion of an expression vectors		OBI branch derived						needs defined relationship to cell culture							cell growth mediated amplification					PlanAndPlannedProcess Branch														
OBI_0600033	cell permeabalization	http://purl.obofoundry.org/obo/OBI_0600033	OBI_0000094		http://purl.obofoundry.org/obo/OBI_0000094		A protocol application to permeabilize cell membranes, allowing molecules to more easily pass through the membrane than was possible prior to the protocol application		OBI branch derived						definition blessed by Jay, Alan, Randi			Electroporation of HeLa cells to allow transfection with pUC19.				cell permeabalization					PERSON:Bjoern Peters														
OBI_0400036	FACS_Calibur	http://purl.obofoundry.org/obo/OBI_0400036	OBI_0400099		http://purl.obofoundry.org/obo/OBI_0400099		The FACS Calibur is one of the most popular cytometers in use for research.		"http://www.bdbiosciences.com/immunocytometry_systems/products/display_product.php?keyID=45, 2007-05-11"						editor_note pending			"FACS Calibur at TFL, BCCRC, Vancouver"				FACS_Calibur					John Quinn														
OBI_0500008	balanced incomplete block design	http://purl.obofoundry.org/obo/OBI_0500008	OBI_0500014		http://purl.obofoundry.org/obo/OBI_0500014		balanced incomplete block design is a kind of factorial design where all treatment pairs occur together within a block an equal number λ times. λii' is the number of times treatment i occurs with i'		http://en.wikipedia.org/wiki/Block_design and http://www.stat.psu.edu/~jglenn/stat503/05_factorial/02_factorial_IBD.html						MSI			PMID: 7622388.Health Educ Q. 1995 May;22(2):201-10.Balanced incomplete block design: description, case study, and implications for practice.				balanced incomplete block design					Philippe Rocca-Serra														
OBI_0600010	object acquisition	http://purl.obofoundry.org/obo/OBI_0600010	OBI_0600008		http://purl.obofoundry.org/obo/OBI_0600008		an object acquisition is an acquisition of an object from an investigator, institution or vendor. Participant roles include source, destination, carrier, container, transaction record, payer...		IEDB						Bjoern is concerned that information such as model number and serial number are to be associated with the process. Others contend that these are associated, perhaps as labels, to the instances that are the participants.			Acquiring 50 C57BL/6 mice in the investigators animal facilities. Purchasing 1 mg of peptides synthesized by Mimotopes at 80% purity. Getting a gift of purified CD4+ specific antibodies presented by Stephen Schoenberger at LIAI.				object acquisition					Bjoern Peters, Alan Ruttenberg														
OBI_0000228	role of being member of screened population	http://purl.obofoundry.org/obo/OBI_0000228	OBI_0000229		http://purl.obofoundry.org/obo/OBI_0000229		Screened population is a potential study participant role of individuals who have been interviewed or screened for participation eligibility		source pending									Group of potential subjects who pass the screening criteria				Screened population					Jennifer Fostel														
OBI_0000038	chromatography_column	http://purl.obofoundry.org/obo/OBI_0000038	OBI_0400002		http://purl.obofoundry.org/obo/OBI_0400002		Column chromatography in chemistry is a tube (typically glass) used to purify individual chemical compounds from mixtures of compounds. It is often used for preparative applications on scales from micrograms up to kilograms.		http://en.wikipedia.org/wiki/Column_chromatography									example_of_usage to be added				chromatography_column					Frank Gibson														
OBI_0000065	polyethylene glycol p-(1,1,3,3-tetramethylbutyl)-phenyl ether	http://purl.obofoundry.org/obo/OBI_0000065	CHEBI_23091		http://purl.org/obo/owl/CHEBI#CHEBI_23091		triton X100 is a chemical entity which belongs to the group of The pluronics which are triblock copolymers of ethylene oxide and propylene oxide. Triton x-100 is_used_as detergent due to its non-ionic surfactant properties		adapted from Wikipedia before possible import from CHEBI									PMID: 30799. J Histochem Cytochem. 1978 Sep;26(9):696-712. Acid lipase: a histochemical and biochemical study using triton X100-naphtyl palmitate micelles.									Philippe Rocca-Serra														
OBI_1000049	whole mount preparation	http://purl.obofoundry.org/obo/OBI_1000049	OBI_0100059		http://purl.obofoundry.org/obo/OBI_0100059		A whole_mount is a histological preparation where the whole specimen is mounted or spread on the glass slide		OBI						PRS:22-02-2008: indicates the need to create a protocol application and distinguish it from this entity	PRS:22-02-2008: is a material which has output_role during whole mount preparation protocol-application						whole mount preparation					Helen Parkinson											whole mount			
OBI_0000070	assay	http://purl.obofoundry.org/obo/OBI_0000070	OBI_0000069		http://purl.obofoundry.org/obo/OBI_0000069		An assay is a protocol application which includes evaluant (evaluant term  definition to be added by Richard, currently under role) as an input  and  which objective is to generate output data about qualities or other   features on the input material [Action Item for Barry to refine   definition] definition_source: OBI.		OBI branch derived						proposal to group the assays by what is the data gathered: detection of material (analyte), measurement of material quality (radioactivity), identification of material, measurement of process (	AltDef: An assay is a protocol application which is a process of measuring. rem1: Imaging is covered by this definition. rem2: material:  used in the context of studying some biological problem, example: hybridization						assay					PlanAndPlannedProcess Branch														
OBI_0600007	administering substance in vivo	http://purl.obofoundry.org/obo/OBI_0600007	OBI_0000094		http://purl.obofoundry.org/obo/OBI_0000094		a substance is intentionally given to an organism through a specified route of administration		IEDB						Different routes and means of administration should go as children underneath this	needs roles such as perturber and perturbee (children of input role). Perturb is too strong. Host might be the name for one role. Others considered: Doner, Donated, Acceptor.		injecting mice with 10 ug morphine intranasally, a patient taking two pills of 1 mg aspirin orally				administering substance in vivo					Bjoern Peters														
OBI_0200146	subgraph modularity calculation	http://purl.obofoundry.org/obo/OBI_0200146	OBI_0200137		http://purl.obofoundry.org/obo/OBI_0200137		A network subgraph quality calculation in which an input data set of subgraph indegree and outdegree qualities is used to calculate the ratio of indegree to outdegree as a measure of modularity.		PERSON: Richard Scheuermann													subgraph modularity calculation					Richard Scheuermann														
OBI_0200040	modular decomposition	http://purl.obofoundry.org/obo/OBI_0200040	OBI_0200080		http://purl.obofoundry.org/obo/OBI_0200080		Molecular decompostion is the partition of a network into distinct subgraphs for the purpose of identifying functional clusters.  The network data is run through any of several existing algorithms designed to partition a network into distinct subgraphs for the purpose of isolating groups of functionally linked biological elements such as proteins.		editor													modular decomposition					Tina Hernandez-Boussard														
OBI_0000134	hardware_testing_objective	http://purl.obofoundry.org/obo/OBI_0000134	OBI_0000208		http://purl.obofoundry.org/obo/OBI_0000208		Hardware_testing_objective is a methodology_testing_objective role describing a study designed to examine the effects of using different hardware, e.g. scanner.		source pending									example_of_usage to be added				hardware_testing_objective					Jennifer Fostel														
OBI_0400045	fluid_pressure_regulator	http://purl.obofoundry.org/obo/OBI_0400045	OBI_0400002		http://purl.obofoundry.org/obo/OBI_0400002		Part of the fluidic subsystem. The fluid pressure regulator maintains constant pressure within the sheath and or sample lines by filling the lines with enough gas to push the fluid at the desired rate. The gas is usually air, and less freqeuntly nitorgen. In the sheath line, the gas is pushed into the sheath tank. In the sample line the gas is pushed into the collection tube. Fluid pressure regulators maintain great enough pressure to push sample fluid out of the tube and sheath fluid out of the sheath tank.		Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253									LSR2 fluid pressure regulator				fluid_pressure_regulator					John Quinn														
OBI_0200013	loess global transformation one-channel	http://purl.obofoundry.org/obo/OBI_0200013	OBI_0200023		http://purl.obofoundry.org/obo/OBI_0200023		A loess global transformation one-channel is a loess global transformation in the special case where the input is the result of an MA transformation applied to intensities from two related one-channel assays.		OTHER: Editor's generalization based on MGED Ontology term									Loess global normalization applied to data from two one-channel expression microarray assays, where the curve is obtained using all reporters. The goal is to remove intensity-dependent biases.				loess global transformation one-channel					Elisabetta Manduchi														
OBI_0200079	mean calculation	http://purl.obofoundry.org/obo/OBI_0200079	OBI_0200078		http://purl.obofoundry.org/obo/OBI_0200078		A mean calulcation is a  descriptive statistics calculation in which the mean is calculated by taking the sum of all of the observations in a data set divided by the total number of observations.  It gives a measure of the “center of gravity” for the data set.  It is also known as the first moment.		PERSON: Monnie McGee	PERSON: James Malone					From Monnie's file comments - need to add moment_calculation and center_calculation roles but they don't exist yet - (editor note added by James Jan 2008)							mean calculation					James Malone	Monnie McGee													
OBI_0600043	genetic transformation	http://purl.obofoundry.org/obo/OBI_0600043	OBI_0000094		http://purl.obofoundry.org/obo/OBI_0000094		the introduction and integration of genetic material into a cell or organism in order to alter its genetic make-up		OBI branch derived									The transduction of E. coli through the introduction of a plasmid encoding for M. avium p35				genetic transformation					PERSON:Kevin Clancy														
OBI_0200106	discriminant analysis	http://purl.obofoundry.org/obo/OBI_0200106	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		Discriminant function analysis is used to determine which variables discriminate between two or more naturally occurring groups. Analysis is used to determine which variable(s) are the best predictors of a particular outcome.		WEB: http://www.statsoft.com/textbook/stdiscan.html													discriminant analysis					Tina Hernandez-Boussard														
OBI_0100040	biosource provider	http://purl.obofoundry.org/obo/OBI_0100040	OBI_0100079		http://purl.obofoundry.org/obo/OBI_0100079		The resource or individual (e.g. company, hospital, commerical supplier) used to obtain or purchase the biomaterial. 		MO_230						THIS IS A ROLE.  James			The Jackson Laboratory is a biosource_provider				biosource provider					Helen Parkinson														
OBI_0200151	exponential base	http://purl.obofoundry.org/obo/OBI_0200151	OBI_0200140		http://purl.obofoundry.org/obo/OBI_0200140		The exponential base is a feature of an exponential function which is defined in http://en.wikipedia.org/wiki/Exponential_function. Its value can be any positive real number (typically different from 1).		WEB: http://en.wikipedia.org/wiki/Exponential_function													exponential base					Elisabetta Manduchi														
OBI_0200052	probabilistic algorithm	http://purl.obofoundry.org/obo/OBI_0200052	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		A probabilistic algorithm is one which involves an element of probability or randomness in the transformation of the data.		PERSON: James Malone													probabilistic algorithm					James Malone														
OBI_0100002	genetic information content	http://purl.obofoundry.org/obo/OBI_0100002	OBI_0302711		http://purl.obofoundry.org/obo/OBI_0302711													example_of_usage to be added				genetic information content																			
Disposition		http://www.ifomis.org/bfo/1.1/snap#Disposition																																							
OBI_0100000	biomaterial	http://purl.obofoundry.org/obo/OBI_0100000	OBI_0000233		http://purl.obofoundry.org/obo/OBI_0000233																																				
OBI_0400102	waste_tank	http://purl.obofoundry.org/obo/OBI_0400102	OBI_0400002		http://purl.obofoundry.org/obo/OBI_0400002		Part of the fluidics systems. In analyzers the sheath and sample fluid, once analyzed is dumped into a waste tank. The waste tank is where the fluids passing through the cytometer end up after the analysis is finished.		Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253									LSR2 waste tank				waste_tank					John Quinn														
OBI_0000126	_induction of natural processes	http://purl.obofoundry.org/obo/OBI_0000126	OBI_0000094		http://purl.obofoundry.org/obo/OBI_0000094		Place holder class, see editor note								This is a placeholder class to collect all protocl applications where the name conflicts with natural processes that could be classes in other ontologies. The fact that it is induced experimetnally by following a protocol makes it a protocol application. Need to make sure that labels don't conflict with natural processes.\nThe terms: translation and transcription were also requested.							_induction of natural processes																			
OBI_0000075	Diagnosis	http://purl.obofoundry.org/obo/OBI_0000075	OBI_0000150		http://purl.obofoundry.org/obo/OBI_0000150		Diagnosis is an assessment of a disease or injury, its likely prognosis and treatment.		source pending						The act or process of identifying or determining the nature and cause of a disease or injury through evaluation			example_of_usage to be added				Diagnosis					Jennifer Fostel														
OBI_0400115	spectrophotometer	http://purl.obofoundry.org/obo/OBI_0400115	OBI_0400003		http://purl.obofoundry.org/obo/OBI_0400003		A spectrophotometer is an instrument that measures the intensity of light as a function of the color, or more specifically, the wavelength of light, transmitted by a substance.		MO									Helios Gamma Spectrophotometer				spectrophotometer					Melanie Courtot	Trish Whetzel													
OBI_0200097	non-negative matrix factorization	http://purl.obofoundry.org/obo/OBI_0200097	OBI_0200067		http://purl.obofoundry.org/obo/OBI_0200067																																				
OBI_0200031	differential expression analysis	http://purl.obofoundry.org/obo/OBI_0200031	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		A differential expression analysis is a data transformation whose input consists of expression levels of entities (such as transcripts or proteins), or of sets of such expression levels, under two or more conditions and whose output reflects which of these are likely to have different expression across such conditions.		PERSON: Elisabetta Manduchi									Analyses implemented by the SAM (http://www-stat.stanford.edu/~tibs/SAM), PaGE (www.cbil.upenn.edu/PaGE) or GSEA (www.broad.mit.edu/gsea/) algorithms and software				differential expression analysis					Elisabetta Manduchi														
OBI_0100071	prokaryote	http://purl.obofoundry.org/obo/OBI_0100071	OBI_0100026		http://purl.obofoundry.org/obo/OBI_0100026		The prokaryotes are a group of organisms that lack a cell nucleus (= karyon), or any other membrane-bound organelles.		WEB: http://en.wikipedia.org/wiki/Prokaryote									bacteria				prokaryote					James Malone	Melanie Courtot													
OBI_0000259	ex-vivo_state	http://purl.obofoundry.org/obo/OBI_0000259	OBI_0000137		http://purl.obofoundry.org/obo/OBI_0000137		An ex-vivo state is a state in which the entity is in an artificial environment outside the living organism. definition_source: http://wordnet.princeton.edu/perl/webwn?s=in%20vitro, Jan 3, 2007.								rem0: (AL) One of in-vitro state/ex-vivo state should be deleted, and made a synonym of the remaining term.																										
OBI_0400006	A40-MiniFCM	http://purl.obofoundry.org/obo/OBI_0400006	OBI_0400008		http://purl.obofoundry.org/obo/OBI_0400008		A A40-MiniFCM is a flow_cytometer_analyser that allows for the choise of one of four lasers (375nm, 405nm,488nm, 532nm, 635nm), and PMTs and filters for collecting up to four parameters. It uses digital electronics. A military version of this cytometer is available as well. The A40-MiniFCM is geared towards the most demanding applications such as archaea, bacteria and large virus.		http://www.apogeeflow.com/flow_cytometry_products.htm													A40-MiniFCM					John Quinn														
OBI_0400153	droplet_sorter	http://purl.obofoundry.org/obo/OBI_0400153	OBI_0400002		http://purl.obofoundry.org/obo/OBI_0400002		A droplet sorter is part_of a flow cytometer sorter that converts the carrier fluid stream into individual droplets, and these droplets are directed into separate locations for recovery (enriching the original\nsample for particles of interest based on qualities determined by gating) or disposal.								The instrument branch needs to identify parts of instruments. The above def is needed to disambiguate between flow cytometer and flow cytometer sorter.\nThe part between () is optional. A flow cytometer sorter has all the parts a flow cytometer has and is also has a "droplet sorter"																										
OBI_0100067	bronchial aveolar lavage	http://purl.obofoundry.org/obo/OBI_0100067	OBI_0100059		http://purl.obofoundry.org/obo/OBI_0100059		Group of biomaterials present in the bronchial aveolar space of an organism which are collected through lavage including the reagents used to for the lavage process, organisms, cells, and cellular secretions present in the bronchial aveolar space.		IEDB						PRS:22-02-2008: output role in protocol application lavage and need to submit protocol application			solution containing lung derived T cells, eosinophils, and TNFa.				bronchial aveolar lavage					Bjoern Peters											BAL			
OBI_0200060	t cell epitope prediction	http://purl.obofoundry.org/obo/OBI_0200060	OBI_0200081		http://purl.obofoundry.org/obo/OBI_0200081		A T cell epitope prediction takes as input an antigen sequence, and through an analysis of this sequence, produces as output a prediction of the likelihood the biomaterial is a T cell epitope.		PERSON: Helen Parkinson													t cell epitope prediction					Helen Parkinson														
OBI_0000110	pH indicator dye role	http://purl.obofoundry.org/obo/OBI_0000110	OBI_0000250		http://purl.obofoundry.org/obo/OBI_0000250		A pH indicator dye is a dye which changes color in environments with different levels of protons		source pending									phenol red in RPMI; pH=4 indicator dye (also carries reference role)				pH indicator dye					Jennifer Fostel														
OBI_0500004	n-to-1 design	http://purl.obofoundry.org/obo/OBI_0500004	OBI_0500003		http://purl.obofoundry.org/obo/OBI_0500003		N-of-1 design is a cross-over design in which the same patient is repeatedly randomised to receive either the experimental treatment or its control (Senn, 1993).		Adapted from  http://www.childrens-mercy.org/stats/definitions/crossover.htm and source:http://symptomresearch.nih.gov/chapter_6/sec1/csss1pg1.htm)						MSI			example to be added				n-to-1 design					Philippe Rocca-Serra														
OBI_0400016	BioSorter250	http://purl.obofoundry.org/obo/OBI_0400016	OBI_0400099		http://purl.obofoundry.org/obo/OBI_0400099		A BioSorter250 is a flow_cytometer_sorter manufactured by Union Biometrica. It includes analog electronics, 488/514 nm multi-line Argon-ion laser for fluorescence and a light stabilized 670 nm forward scatter laser for extinction and time-of-flight. It has filters and PMTs for 3 flourescent parameters and photodiodes for scatter, time of flight, and extinction. The flow cell is quartz cuvette. The BioSorterTM 250 is an instrument for analyzing and sorting objects from 40-200 microns in diameter.		http://www.unionbio.com/products/BioSorter.html									BioSorter 250 at TSRI Flow Cytometry Core Facility				BioSorter250					John Quinn														
OBI_0200099	discriminant function analysis	http://purl.obofoundry.org/obo/OBI_0200099	OBI_0200106		http://purl.obofoundry.org/obo/OBI_0200106		Discriminant function analysis is a form of discriminant analysis used to determine which variables discriminate between two or more naturally occurring groups. Analysis is used to determine which variable(s) are the best predictors of a particular outcome.		WEB: http://www.statsoft.com/textbook/stdiscan.html													discriminant function analysis					Tina Hernandez-Boussard														
OBI_0000212	funder	http://purl.obofoundry.org/obo/OBI_0000212	ObsoleteClass		http://www.geneontology.org/formats/oboInOwl#ObsoleteClass																																				
OBI_0000136	incubator	http://purl.obofoundry.org/obo/OBI_0000136	OBI_0400003		http://purl.obofoundry.org/obo/OBI_0400003		An incubator is an instrument in which environmental conditions (light, photoperiod, temperature, humidity, etc.) can be controlled		http://www.medterms.com/script/main/art.asp?articlekey=18426									Incubators are used in microbiology for culturing (growing) bacteria and other microorganisms. Incubators in tissue culture rooms are used for culturing stem cells, lymphocytes, skin fibroblasts and other types of cells				incubator					Frank Gibson														
